ES,GD
[58371.80882266],178930706368.7085
[58371.80882266],178180493224.3288
[58371.80882266],177432641655.21335
[58371.80882266],176687146700.19363
[58371.80882266],175944003403.31857
[58371.80882266],175203206813.85287
[58371.80882266],174464751986.27856
[57904.60020128],173728633980.294
[57904.60020128],172994847860.81387
[57904.60020128],172263388697.97067
[57904.60020128],171534251567.1122
[57904.60020128],170807431548.80414
[57904.60020128],170082923728.82776
[55423.81075],169360723198.18198
[55423.81075],168640825053.08084
[55423.81075],167923224394.95746
[55423.81075],167207916330.4594
[55047.27369823],166494895971.45193
[55047.27369823],165784158435.0171
[55047.27369823],165075698843.45248
[55047.27369823],164369512324.27405
[55047.27369823],163665594010.2131
[55047.27369823],162963939039.21832
[54895.16266112],162264542554.45456
[54895.16266112],161567399704.30338
[54895.16266112],160872505642.3636
[54895.16266112],160179855527.4499
[53922.66168922],159489444523.5945
[53922.66168922],158801267800.04504
[53922.66168922],158115320531.26727
[53013.41864819],157431597896.94263
[53013.41864819],156750095081.9692
[53013.41864819],156070807276.4627
[53013.41864819],155393729675.75418
[53013.41864819],154718857480.39258
[52799.13618803],154046185896.14288
[52799.13618803],153375710133.98618
[51263.29930383],152707425410.12155
[51263.29930383],152041326945.9639
[50478.29584187],151377409968.14456
[50478.29584187],150715669708.51212
[50478.29584187],150056101404.1316
[50478.29584187],149398700297.28488
[50478.29584187],148743461635.46964
[50478.29584187],148090380671.40182
[50478.29584187],147439452663.01285
[49917.2979522],146790672873.45062
[49917.2979522],146144036571.08063
[49917.2979522],145499539029.4846
[49917.2979522],144857175527.46042
